지 역,시군구,역개수,
서울특별시,강남구,33,
서울특별시,강동구,13,
서울특별시,강북구,11,
서울특별시,강서구,22,
서울특별시,관악구,4,
서울특별시,광진구,11,
서울특별시,구로구,13,
서울특별시,금천구,4,
서울특별시,노원구,16,
서울특별시,도봉구,8,
서울특별시,동대문구,14,
서울특별시,동작구,17,
서울특별시,마포구,22,
서울특별시,서대문구,7,
서울특별시,서초구,19,
서울특별시,성동구,19,
서울특별시,성북구,13,
서울특별시,송파구,29,
서울특별시,양천구,6,
서울특별시,영등포구,19,
서울특별시,용산구,18,
서울특별시,은평구,15,
서울특별시,종로구,15,
서울특별시,중구,24,
서울특별시,중랑구,15,
경기,과천시,5,
경기,안양시 만안구,4,
경기,안양시 동안구,3,
경기,성남시 수정구,8,"가천대, 남위례, 남한산성입구, 단대오, 산성, 수진, 신흥, 태평"
경기,성남시 중원구,1,모란역
경기,성남시 분당구,8,"미금, 서현, 수내, 야탑, 오리, 이매, 정자, 판교"
경기,군포시,7,
경기,의왕시,1,
경기,안성시,0,
경기,용인시 처인구,9,"고진, 김량장, 둔전, 명지대, 보평, 삼가, 수진용인대, 운동장송담대, 전대에버랜드"
경기,용인시 기흥구,10,"강남대, 구성, 기흥, 동백, 보정, 상갈, 신갈, 어정, 지석, 초당"
경기,용인시 수지구,5,"동천, 상현, 성복, 수지구청, 죽전"
경기,수원시 장안구,1,"성균관대,"
경기,수원시 권선구,4,"고색, 세류, 수원시청역, 오목천"
경기,수원시 팔달구,3,"매교, 수원, 화서"
경기,수원시 영통구,6,"광교, 광교중앙, 망포, 매탄권선역, 영통, 청명"
경기,부천시,16,
경기,안산시 상록구,4,
경기,안산시 단원구,9,
경기,시흥시,10,
경기,광명시,3,
경기,화성시,1,
경기,오산시,4,
경기,평택시,5,
경기,남양주시,13,
경기,구리시,2,
경기,하남시,3,
경기,광주시,4,
경기,이천시,3,
경기,여주시,2,
경기,김포시,9,
경기,고양시 덕양구,10,"강매, 능곡, 대곡, 삼송, 원당, 원흥, 지축, 행신, 화전, 화정"
경기,고양시 일산동구,6,"곡산, 마두, 백마, 백석, 정발산, 풍산"
경기,고양시 일산서구,4,"대화, 일산, 주엽, 탄현"
경기,파주시,7,
경기,포천시,0,
경기,동두천시,5,
경기,양주시,3,
경기,의정부시,21,
인천,서구,18,
인천,동구,1,
인천,남동구,14,
인천,연수구,15,
인천,부평구,12,
인천,계양구,7,
인천,미추홀구,8,
인천,중구,8,
