,주택유형,지 역,건수
2019년 01월,아파트,전국,5747
2019년 02월,아파트,전국,7657
2019년 03월,아파트,전국,8235
2019년 04월,아파트,전국,8608
2019년 05월,아파트,전국,8103
2019년 06월,아파트,전국,7153
2019년 07월,아파트,전국,8564
2019년 08월,아파트,전국,9303
2019년 09월,아파트,전국,8417
2019년 10월,아파트,전국,9031
2019년 11월,아파트,전국,8333
2019년 12월,아파트,전국,7566
2020년 01월,아파트,전국,6981
2020년 02월,아파트,전국,7940
2020년 03월,아파트,전국,8841
2020년 04월,아파트,전국,8770
2020년 05월,아파트,전국,8195
2020년 06월,아파트,전국,8847
2020년 07월,아파트,전국,9759
2020년 08월,아파트,전국,9792
2020년 09월,아파트,전국,9614
2020년 10월,아파트,전국,8945
2020년 11월,아파트,전국,9473
2020년 12월,아파트,전국,12389
2021년 01월,아파트,전국,9018
2021년 02월,아파트,전국,10258
2021년 03월,아파트,전국,13161
2021년 04월,아파트,전국,12021
2021년 05월,아파트,전국,11215
2021년 06월,아파트,전국,12458
